"Theme","Criteria","Test","https://doc.asqatasun.org/"
1,1,1,pq
1,1,2,na
1,1,3,na
1,1,4,na
1,1,5,pq
1,1,6,na
1,1,7,na
1,1,8,na
1,2,1,pq
1,2,2,na
1,2,3,na
1,2,4,pq
1,2,5,na
1,2,6,na
1,3,1,pq
1,3,2,na
1,3,3,na
1,3,4,na
1,3,5,na
1,3,6,na
1,3,7,na
1,3,8,na
1,3,9,nt
1,4,1,na
1,4,2,na
1,4,3,na
1,4,4,na
1,4,5,na
1,4,6,na
1,4,7,na
1,5,1,nt
1,5,2,na
1,6,1,nt
1,6,2,nt
1,6,3,nt
1,6,4,nt
1,6,5,nt
1,6,6,nt
1,6,7,nt
1,6,8,nt
1,6,9,nt
1,6,10,nt
1,7,1,nt
1,7,2,nt
1,7,3,nt
1,7,4,nt
1,7,5,nt
1,7,6,nt
1,8,1,nt
1,8,2,nt
1,8,3,nt
1,8,4,nt
1,8,5,nt
1,9,1,nt
1,9,2,nt
1,9,3,nt
1,9,4,nt
1,9,5,nt
2,1,1,na
2,2,1,na
3,1,1,nt
3,1,2,nt
3,1,3,nt
3,1,4,nt
3,1,5,pq
3,1,6,pq
3,2,1,pq
3,2,2,na
3,2,3,pq
3,2,4,na
3,2,5,nt
3,3,1,nt
3,3,2,nt
3,3,3,nt
3,3,4,nt
4,1,1,na
4,1,2,pq
4,1,3,pq
4,2,1,na
4,2,2,pq
4,2,3,pq
4,3,1,pq
4,3,2,pq
4,4,1,pq
4,5,1,pq
4,5,2,pq
4,6,1,pq
4,6,2,pq
4,7,1,pq
4,8,1,pq
4,8,2,pq
4,9,1,pq
4,10,1,nt
4,11,1,pq
4,11,2,pq
4,11,3,pq
4,12,1,pq
4,12,2,pq
4,13,1,pq
4,13,2,pq
5,1,1,na
5,2,1,nt
5,3,1,na
5,4,1,nt
5,5,1,nt
5,6,1,nt
5,6,2,nt
5,6,3,nt
5,7,1,nt
5,7,2,nt
5,7,3,nt
5,7,4,nt
5,7,5,nt
5,8,1,nt
6,1,1,pq
6,1,2,na
6,1,3,pq
6,1,4,na
6,1,5,nt
6,2,1,nt
7,1,1,nt
7,1,2,nt
7,1,3,nt
7,2,1,nt
7,2,2,nt
7,3,1,nt
7,3,2,nt
7,4,1,pq
7,5,1,nt
7,5,2,nt
7,5,3,nt
8,1,1,c
8,1,2,c
8,1,3,nt
8,2,1,nt
8,3,1,c
8,4,1,pq
8,5,1,c
8,6,1,pq
8,7,1,nt
8,8,1,na
8,9,1,pq
8,10,1,nt
8,10,2,na
9,1,1,c
9,1,2,pq
9,1,3,nt
9,2,1,pq
9,3,1,nt
9,3,2,nt
9,3,3,nt
9,4,1,nt
9,4,2,nt
10,1,1,c
10,1,2,c
10,1,3,nt
10,2,1,nt
10,3,1,nt
10,4,1,na
10,4,2,nt
10,4,3,nt
10,5,1,nt
10,5,2,nt
10,5,3,nt
10,6,1,nt
10,7,1,nt
10,8,1,nt
10,9,1,nt
10,9,2,pq
10,9,3,pq
10,9,4,pq
10,10,1,nt
10,10,2,pq
10,10,3,pq
10,10,4,pq
10,11,1,nt
10,11,2,nt
10,12,1,nt
10,13,1,nt
10,13,2,nt
10,13,3,nt
10,14,1,nt
10,14,2,nt
11,1,1,nt
11,1,2,nt
11,1,3,nt
11,2,1,na
11,2,2,na
11,2,3,na
11,2,4,na
11,2,5,nt
11,2,6,nt
11,3,1,nt
11,3,2,na
11,4,1,nt
11,4,2,nt
11,4,3,nt
11,5,1,nt
11,6,1,nt
11,7,1,nt
11,8,1,nt
11,8,2,nt
11,8,3,nt
11,9,1,nt
11,9,2,nt
11,10,1,nt
11,10,2,nt
11,10,3,nt
11,10,4,nt
11,10,5,na
11,10,6,na
11,10,7,na
11,11,1,na
11,11,2,na
11,12,1,na
11,12,2,na
11,13,1,na
12,1,1,na
12,2,1,na
12,3,1,nt
12,3,2,nt
12,3,3,nt
12,4,1,na
12,4,2,na
12,4,3,na
12,5,1,na
12,5,2,na
12,5,3,na
12,6,1,nt
12,7,1,nt
12,7,2,na
12,8,1,nt
12,8,2,nt
12,9,1,nt
12,10,1,nt
12,11,1,nt
13,1,1,pq
13,1,2,na
13,1,3,nt
13,1,4,nt
13,2,1,nt
13,3,1,pq
13,4,1,pq
13,5,1,nt
13,6,1,nt
13,7,1,pq
13,7,2,nt
13,7,3,nt
13,8,1,nt
13,8,2,nt
13,9,1,nt
13,10,1,nt
13,10,2,nt
13,11,1,nt
13,12,1,nt
13,12,2,nt
13,12,3,nt
